timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768937774489,12,POST /api/v1/pautas,201,,Thread Group 1-1,text,true,,340,306,2,2,http://localhost:8080/api/v1/pautas,12,0,2
1768937774499,13,POST /api/v1/pautas,201,,Thread Group 1-2,text,true,,340,306,3,3,http://localhost:8080/api/v1/pautas,13,0,1
1768937774502,16,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-1,text,true,,279,187,3,3,http://localhost:8080/api/v1/pautas/308/sessao,16,0,0
1768937774510,9,POST /api/v1/pautas,201,,Thread Group 1-3,text,true,,338,306,4,4,http://localhost:8080/api/v1/pautas,9,0,0
1768937774513,11,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-2,text,true,,279,187,4,4,http://localhost:8080/api/v1/pautas/309/sessao,11,0,0
1768937774519,10,POST /api/v1/pautas,201,,Thread Group 1-4,text,true,,340,306,5,5,http://localhost:8080/api/v1/pautas,10,0,0
1768937774519,14,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-3,text,true,,279,187,5,5,http://localhost:8080/api/v1/pautas/310/sessao,14,0,0
1768937774528,7,POST /api/v1/pautas,201,,Thread Group 1-5,text,true,,340,306,5,5,http://localhost:8080/api/v1/pautas,7,0,1
1768937774529,11,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-4,text,true,,279,187,6,6,http://localhost:8080/api/v1/pautas/311/sessao,11,0,0
1768937774538,6,POST /api/v1/pautas,201,,Thread Group 1-6,text,true,,340,306,6,6,http://localhost:8080/api/v1/pautas,6,0,0
1768937774535,10,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-5,text,true,,277,187,6,6,http://localhost:8080/api/v1/pautas/312/sessao,10,0,0
1768937774544,9,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-6,text,true,,279,187,7,7,http://localhost:8080/api/v1/pautas/313/sessao,9,0,0
1768937774548,6,POST /api/v1/pautas,201,,Thread Group 1-7,text,true,,340,306,7,7,http://localhost:8080/api/v1/pautas,6,0,0
1768937774557,6,POST /api/v1/pautas,201,,Thread Group 1-8,text,true,,340,306,8,8,http://localhost:8080/api/v1/pautas,6,0,1
1768937774554,10,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-7,text,true,,278,187,8,8,http://localhost:8080/api/v1/pautas/314/sessao,10,0,0
1768937774563,10,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-8,text,true,,277,187,9,9,http://localhost:8080/api/v1/pautas/315/sessao,9,0,0
1768937774568,9,POST /api/v1/pautas,201,,Thread Group 1-9,text,true,,340,306,9,9,http://localhost:8080/api/v1/pautas,9,0,0
1768937774578,6,POST /api/v1/pautas,201,,Thread Group 1-10,text,true,,340,306,10,10,http://localhost:8080/api/v1/pautas,6,0,0
1768937774577,9,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-9,text,true,,277,187,10,10,http://localhost:8080/api/v1/pautas/316/sessao,9,0,0
1768937774587,7,POST /api/v1/pautas,201,,Thread Group 1-11,text,true,,339,306,11,11,http://localhost:8080/api/v1/pautas,7,0,0
1768937774584,12,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-10,text,true,,279,187,11,11,http://localhost:8080/api/v1/pautas/317/sessao,12,0,0
1768937774595,11,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-11,text,true,,279,187,12,12,http://localhost:8080/api/v1/pautas/318/sessao,11,0,0
1768937774599,7,POST /api/v1/pautas,201,,Thread Group 1-12,text,true,,340,306,12,12,http://localhost:8080/api/v1/pautas,7,0,1
1768937774608,7,POST /api/v1/pautas,201,,Thread Group 1-13,text,true,,340,306,13,13,http://localhost:8080/api/v1/pautas,7,0,0
1768937774607,9,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-12,text,true,,279,187,13,13,http://localhost:8080/api/v1/pautas/319/sessao,9,0,0
1768937774615,12,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-13,text,true,,277,187,14,14,http://localhost:8080/api/v1/pautas/320/sessao,12,0,0
1768937774619,9,POST /api/v1/pautas,201,,Thread Group 1-14,text,true,,339,306,15,15,http://localhost:8080/api/v1/pautas,9,0,0
1768937774628,6,POST /api/v1/pautas,201,,Thread Group 1-15,text,true,,340,306,15,15,http://localhost:8080/api/v1/pautas,6,0,1
1768937774629,9,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-14,text,true,,279,187,16,16,http://localhost:8080/api/v1/pautas/321/sessao,9,0,0
1768937774638,7,POST /api/v1/pautas,201,,Thread Group 1-16,text,true,,340,306,16,16,http://localhost:8080/api/v1/pautas,7,0,0
1768937774634,12,POST /api/v1/pautas/{pautaId}/sessao,201,,Thread Group 1-15,text,true,,279,187,16,16,http://localhost:8080/api/v1/pautas/322/sessao,12,0,0
1768937774649,8,POST /api/v1/pautas,201,,Thread Group 1-17,text,true,,340,306,17,17,http://localhost:8080/api/v1/pautas,8,0,1
1768937774658,7,POST /api/v1/pautas,201,,Thread Group 1-18,text,true,,340,306,18,18,http://localhost:8080/api/v1/pautas,7,0,1
1768937774668,7,POST /api/v1/pautas,201,,Thread Group 1-19,text,true,,340,306,19,19,http://localhost:8080/api/v1/pautas,7,0,0
